cell_type,HPD1_pre,HPD1_post,HPD2_pre,HPD2_post,HPD3_post,HPD3_pre,HPD4_pre,HPD4_post,HPD5_pre,HPD5_post,HPD6_pre,HPD6_post
B cell_TIMER,0.109201627888282,0.10671300255,0.0812874114575873,0.0811480525887453,0.0822436760620526,0.0845987316924636,0.0821275726955468,0.075175595902812,0.0803311984162744,0.0787265527693282,0.0832745729293631,0.0781155644902078
T cell CD4+_TIMER,0.118570850949323,0.114694346896103,0.116020294350645,0.115697906808811,0.121839965524727,0.123141717023252,0.123924247049655,0.134863161846015,0.128612385340385,0.13716485109115,0.131134768381044,0.135104559251872
T cell CD8+_TIMER,0.202914035596697,0.212714625954276,0.211890103794234,0.213256134563903,0.206865379556201,0.204941567783026,0.207732642400949,0.20311507124368,0.203075142411733,0.200665644984952,0.204585580382746,0.205471571424824
Neutrophil_TIMER,0.128711969879718,0.129632584280908,0.126467552758243,0.127562656078735,0.126167539725715,0.126036645102549,0.130620061679361,0.137915347261513,0.127158999763366,0.127610156158311,0.133242746637887,0.132549108716741
Macrophage_TIMER,0.0440099439924463,0.046821020927451,0.038051713510984,0.0374246423677745,0.0377523474832788,0.0372418014793831,0.034812775395434,0.0591293223293076,0.0472575112852138,0.0495463883117368,0.0446497203591755,0.0402828870477036
Myeloid dendritic cell_TIMER,0.499928735819739,0.509833121654609,0.512185219204987,0.511852460893012,0.505460397752032,0.504868833763183,0.514801009739965,0.521489693539296,0.513410323526044,0.516578933039799,0.523676668088656,0.524217006594972
B cell naive_CIBERSORT,0.0321546695869944,0,0,0.000319260089202081,0.123538802322439,0.225271628446172,0,0,0,0,0,0
B cell memory_CIBERSORT,0.0902925377329811,0.110178951150102,0.00706604402662923,0.00374872469484695,0,0,0.0113356975420016,0,0.00510485649310128,0,0.00885726519229802,0.0304460109791442
B cell plasma_CIBERSORT,0.121445769344311,0.117208626509524,0.0235302820278031,0.0228446736580047,0,0.149290634467876,0.15705295219443,0.00434461119926294,0.0178513520667835,0.0366209302868852,0.0272870600382555,0.0316887991802247
T cell CD8+_CIBERSORT,0.0378593411100631,0,0,0,0.423228524947668,0.379012013137086,0.0153754968019755,0.117589779850073,0.0219226001164535,0.0652978242483113,0.0603471274117586,0.0848745552574272
T cell CD4+ naive_CIBERSORT,0.0875725011603761,0,0,0,0,0,0,0,0,0,0,0
T cell CD4+ memory resting_CIBERSORT,0.0611610205295661,0.207254723964107,0.285034227387577,0.284699356396227,0,0,0.22813097494894,0.084223925564602,0.101442423956521,0.147329365054163,0.187880213381237,0.093720544202308
T cell CD4+ memory activated_CIBERSORT,0,0.0157641097882889,0,0,0,0,0.0498237908886821,0,0,0,0.031068209229879,0.092835722982496
T cell follicular helper_CIBERSORT,0.000712661776018689,0.0309568580210556,0.0164563221945917,0.022040049826455,0.0925827807044162,0.0685449791449457,0,0.010645629643325,0,0,0.031201634924623,0.071490855030667
T cell regulatory (Tregs)_CIBERSORT,0.0260289536576689,0.0348663953638674,0.0328088800159294,0.00872470469063391,0,0,0,0.000759346693448752,0.016939164217963,0.00460728840394299,0.0240209757181788,0.0041780638627821
T cell gamma delta_CIBERSORT,0,0,0,0,0,0,0,0,0.000247296608875605,0,0,0
NK cell resting_CIBERSORT,0.0884435082065206,0.00170648842724158,0.123776073440509,0.114783693081396,0.0695591277370811,0.00733992082534776,0.0801234063397949,0.0052928911562464,0,0,0.00660159730201481,0.00871166201012693
NK cell activated_CIBERSORT,0,0,0,0,0,0.00711296517597782,0,0.0391471952920583,0.0155603666457631,0.0482075292709811,0,0.00500219273316958
Monocyte_CIBERSORT,0.010020222492992,0.0372435428447987,0.0392394617002588,0,0.0736507306085545,0.0435587748943701,0,0.478702105446691,0.0182327635631559,0.111930090311392,0.0631385362903864,0.0909287031831871
Macrophage M0_CIBERSORT,0.109168346685025,0.131569775567004,0.383696339665427,0.356742975134726,0.189094354741877,0.0912296104862873,0.263554321024069,0.0359596678416422,0.137287926867176,0,0.296826150614673,0.245124662600187
Macrophage M1_CIBERSORT,0,0.0377265624725377,0.00786449521847611,0,0,0,0,0,0.0236100510702526,0.0808242087446341,0.0536147585452428,0.128540714495119
Macrophage M2_CIBERSORT,0.166339498860063,0.00685192200507483,0.0378814710238004,0.153820056685389,0,0.0286394734219376,0.0214020360610038,0.146081752291318,0.412433771398733,0.35002971182768,0.140837197544463,0.0620179051055004
Myeloid dendritic cell resting_CIBERSORT,0.119418040710307,0.20246028860087,0,0,0,0,0,0,0.15749014598435,0.0127362788605648,0.0359713275410442,0.0126879169272191
Myeloid dendritic cell activated_CIBERSORT,0.0077844590049818,0,0,0,0,0,0.0921802660488043,0.00180726306934513,0,0,0,0
Mast cell activated_CIBERSORT,0,0.0617926000568144,0.0247344266486385,0.0285386175014971,0,0,0.016555628390876,0.0514576210820399,0.0284078487584396,0.13254923886819,0.00401611173770358,0.0377516914504418
Mast cell resting_CIBERSORT,0,0,0,0,0.0259949585508886,0,0.0485499404589692,0,0,0,0,0
Eosinophil_CIBERSORT,0.041598469142131,0.0044191552287148,0.0179119766503589,0,0,0,0.015915489300453,0.00209300333783123,0,0.00986753412325535,0,0
Neutrophil_CIBERSORT,0,0,0,0.00373788824162149,0.00235072038707548,0,0,0.0218952075321163,0.0434694322524317,0,0.0283318345282421,0
B cell naive_CIBERSORT-ABS,0.011321564794469,0,0,5.68416074542012e-05,0.0144880898044798,0.0465704645614844,0,0,0,0,0,0
B cell memory_CIBERSORT-ABS,0.0317917375464015,0.048079548890521,0.00142340240462066,0.000667429299073728,0,0,0.00398851367409918,0,0.00134850881803901,0,0.00489371748890134,0.015015977649831
B cell plasma_CIBERSORT-ABS,0.0427606989686463,0.0511471368154355,0.00474000160394625,0.0040673044217115,0,0.0308628931650353,0.0552597530998101,0.00182528327346955,0.00471564787541207,0.0124577854871021,0.0150763424184284,0.0156289209961262
T cell CD8+_CIBERSORT-ABS,0.0133301628957447,0,0,0,0.0496343882406701,0.0783532557913527,0.00540993432592232,0.0494025008101342,0.00579111667709601,0.0222131519021318,0.0333423225350284,0.0418601446888362
T cell CD4+ naive_CIBERSORT-ABS,0.0308340206519157,0,0,0,0,0,0,0,0,0,0,0
T cell CD4+ memory resting_CIBERSORT-ABS,0.0215346158338819,0.0904411734692254,0.0574180408632712,0.0506883560021024,0,0,0.0802688594767113,0.0353846444499091,0.0267972279756516,0.0501188148803805,0.103805482401248,0.0462229878993301
